Site,Entity,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
cumaps.net,Page,cumaps.net/en/TR/malatya-masaj-salonu-mutlu-sonlu-masz-blue-masaj-salonu-p630601,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,1900,2022-03-03,2022-03-09
cumaps.net,Page,cumaps.net/en/HU/cristina-shemale-p134331,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,1600,2022-03-03,2022-03-09
cumaps.net,Page,cumaps.net/en/MX/casa-de-citas-p213906,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,1000,2022-03-03,2022-03-09
cumaps.net,Page,cumaps.net/en/BO/las-palmeras-club-damas-de-compaia-p21230,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,859,2022-03-03,2022-03-09
cumaps.net,Page,cumaps.net/en/PE/masajes-para-caballeros-masajes-tantricos-vip-semana-de-descuentos-trago-de-cortesia-p27917,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,654,2022-03-03,2022-03-09
cumaps.net,Page,cumaps.net/en/TR/balkesir-travesti-p275154,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,634,2022-03-03,2022-03-09
cumaps.net,Page,cumaps.net/en/US/asian-studio-24-asian-massage-parlor-p4303199,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,527,2022-03-03,2022-03-07
cumaps.net,Page,cumaps.net/en/US/lilly-s-asian-spa-p4008322,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,504,2022-03-05,2022-03-09
cumaps.net,Page,cumaps.net/en/BR/massagens-balneario-camboriu-relaxante-tantrica-espao-inspirar-terapias-p1948359,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,446,2022-03-03,2022-03-08
cumaps.net,Page,cumaps.net/en/TR/vips-mutlu-sonlu-masaj-salonu-tarsus-p392347,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,427,2022-03-03,2022-03-09
cumaps.net,Page,cumaps.net/en/TH/modeling-room-spa--------line-modelingroom-p244426,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,417,2022-03-03,2022-03-08
cumaps.net,Page,cumaps.net/en/BR/hot-girls-vips-quot-acompanhantes-de-luxo-quot-p953195,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,408,2022-03-03,2022-03-07
cumaps.net,Page,cumaps.net/en/PL/angell-massage-masa-szczecin-masaystka-nuru-tantryczny-massage-stettin-p150391,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,406,2022-03-03,2022-03-09
cumaps.net,Page,cumaps.net/en/US/new-star-spa-asian-massage-parlor-edison-table-shower-p4597712,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,392,2022-03-07,2022-03-09
cumaps.net,Page,cumaps.net/en/PL/club-relax-p626408,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,383,2022-03-03,2022-03-09
cumaps.net,Page,cumaps.net/en/TR/ltravest-p474674,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,339,2022-03-03,2022-03-08
cumaps.net,Page,cumaps.net/en/PA/el-fuerte-federal-mall-p51325,No,Google-served ads obscuring content,Restricted ad serving,ca-pub-9550021008970935,337,2022-03-03,2022-03-09
cumaps.net,Page,cumaps.net/en/ID/vantasy-spa-school-of-justice-p2288875,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,332,2022-03-05,2022-03-09
cumaps.net,Page,cumaps.net/en/ES/gasolinera-la-archenera-p246923,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,332,2022-03-04,2022-03-09
cumaps.net,Page,cumaps.net/en/NL/blind-date-sex-bios-rotterdam-p276053,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,325,2022-03-05,2022-03-09
cumaps.net,Page,cumaps.net/en/KR/----p325828,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,318,2022-03-03,2022-03-07
cumaps.net,Page,cumaps.net/en/BR/casa-de-massagem-alagoas-394-p1052598,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,314,2022-03-03,2022-03-09
cumaps.net,Page,cumaps.net/en/US/jason-s-adult-bookstore-p2447673,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,275,2022-03-04,2022-03-09
cumaps.net,Page,cumaps.net/en/PL/sex-shop-zgorzelec-jesshop-sklepy-tylko-dla-dorosych-p35127,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,264,2022-03-03,2022-03-08
cumaps.net,Page,cumaps.net/en/BR/casa-de-massagem-belissima-novo-hamburgo-p87069,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,244,2022-03-04,2022-03-09
cumaps.net,Page,cumaps.net/en/TR/eyll-bay-bayan-masaj-salonu-p630602,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,241,2022-03-03,2022-03-07
cumaps.net,Page,cumaps.net/en/US/new-happy-spa-asian-massage-parlor-in-passaic-nj-table-shower-p1185720,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,232,2022-03-03,2022-03-07
cumaps.net,Page,cumaps.net/en/PA/el-romance-p21004,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,230,2022-03-04,2022-03-09
cumaps.net,Page,cumaps.net/en/US/health-magic-massage-and-spa-p6161644,Yes,Site Behavior: Navigation,Restricted ad serving,ca-pub-9550021008970935,223,2022-03-05,2022-03-09
cumaps.net,Page,cumaps.net/en/PE/shullkas-suites-hotel-p105686,Yes,Google-served ads on screens without publisher-content,Restricted ad serving,ca-pub-9550021008970935,191,2022-03-08,2022-03-09
cumaps.net,Page,cumaps.net/en/MX/caricias-spa-p833825,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,176,2022-03-05,2022-03-07
cumaps.net,Page,cumaps.net/en/ID/cahaya-pijat-tradisional-pria-amp-wanita-p2096881,No,Google-served ads obscuring content,Restricted ad serving,ca-pub-9550021008970935,175,2022-03-03,2022-03-09
cumaps.net,Page,cumaps.net/en/CR/sala-de-masajes-star-p104006,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,168,2022-03-07,2022-03-08
cumaps.net,Page,cumaps.net/en/ID/segar-massage-traditional-p122580,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,160,2022-03-04,2022-03-07
cumaps.net,Page,cumaps.net/en/TH/sidegra-officials-----grab-ems-p189799,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,157,2022-03-03,2022-03-08
cumaps.net,Page,cumaps.net/en/GB/london-tantric-masseuse-p116088,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,154,2022-03-04,2022-03-07
cumaps.net,Page,cumaps.net/en/AU/janelle-s-port-macquarie-best-brothel-amp-massage-p63427,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,145,2022-03-03,2022-03-08
cumaps.net,Page,cumaps.net/en/US/kara-amp-bubbly-asian-massage-spa-p903720,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,143,2022-03-07,2022-03-09
cumaps.net,Page,cumaps.net/en/AU/banksia-brothel-cuties-escorts-p1053740,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,143,2022-03-07,2022-03-09
cumaps.net,Page,cumaps.net/en/US/new-rainbow-spa-asian-massage-in-atlantic-city-nj-p1302658,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,139,2022-03-08,2022-03-09
cumaps.net,Page,cumaps.net/en/US/longview-adult-theaters-p4756967,No,Adult: Sexual content,Restricted ad serving,ca-pub-9550021008970935,139,2022-03-03,2022-03-08
